id,title,contents,category
NEWS_00000,Spanish coach facing action in race row,MADRID (AFP) - Spanish national team coach Luis Aragones faces a formal investigation after Spain #39;s Football Federation decided to open disciplinary proceedings over racist comments about Thierry Henry of France and Arsenal.,3
NEWS_00001,Bruce Lee statue for divided city,"In Bosnia, where one man #39;s hero is often another man #39;s villain, some citizens have decided to honour one whom Serbs, Croats and Muslims can all look up to - the kung fu great Bruce Lee.",1
NEWS_00002,Only Lovers Left Alive's Tilda Swinton Talks About Almost Quitting Acting and Yasmine Hamdan Performs 'Hal' Live In NYC   (HuffPo Exclusive Videos) authors,Yasmine Hamdan performs 'Hal' which she also sings in the film during a scene when two world-weary vampires begin to heal and find a way to continue living as they remember the power and mystery of creation itself.,1
NEWS_00003,Macromedia contributes to eBay Stores,Macromedia has announced a special version of its Contribute website editing application designed to simplify the creation and customisation of eBay Stores.,4
NEWS_00004,Qualcomm plans to phone it in on cellular repairs,Over-the-air fixes for cell phones comes to Qualcomm's CDMA.,4
NEWS_00005,Thomson to Back Both Blu-ray and HD-DVD,"Company, one of the core backers of Blu-ray, will also support its rival format.",4
NEWS_00006,Time to Talk Baseball,It's time to talk about the serious risks and potential benefits of building an expensive ballpark in Washington.,3
NEWS_00007,Bump Stock Maker Resumes Sales One Month After Las Vegas Mass Shooting authors,Move along nothing to see here.,2
NEWS_00008,Obama Marks Anniversary Of 9/11 Attacks With Moment Of Silence authors,We stand as strong as ever.,5
NEWS_00009,Republican Congressman Says Trump Should Apologize To Obama And The UK authors,Best not to hold your breath on that one.,2
NEWS_00010,Harry #39;s argy-bargy,PRINCE Charles has asked Scotland Yard for an in-depth report on his son Harry #39;s trip to Argentina after reports of excessive drinking and a kidnap plot.,1
NEWS_00011,Kerry rolls out tax-cut plan for middle class,"After two weeks of focusing on Iraq, Democratic presidential challenger John Kerry turned his emphasis to the economy Saturday, delivering what he called a plan for  quot;middle-class families.",2
NEWS_00012,Read Live Updates From The South Carolina Democratic Primary authors,South Carolina Democrats are making their pick on Saturday.,2
NEWS_00013,GAME DAY PREVIEW Game time: 6:00 PM,"CHARLOTTE, North Carolina (Ticker) -- The Detroit Shock face a critical road test Saturday when they take on the Charlotte Sting at Charlotte Coliseum.",3
NEWS_00014,Obama Administration Helps Wall Street Criminals Dodge Accountability authors,Obama administration proposal would aid big banks that have pleaded guilty to felony antitrust charges.,2
NEWS_00015,It's Not As Easy As You Think To Spot A Gerrymandered Map authors,Our electoral districts have really weird shapes. Figuring out if they're gerrymandered takes some deeper digging.,2
NEWS_00016,Fischer's Fiancee: Marriage Plans Genuine (AP),"AP - Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday.",1
NEWS_00017,Parents Of School Shooting Victims Decry 'Moronic' GOP Platitudes authors,For [Texas Lt. Gov. Dan Patrick] to be making those moronic comments? Unacceptable.u201d,2
NEWS_00018,A Fair Way to Choose Candidates for Republican Debate,//www.huffingtonpost.com/entry/a-fair-way-to-choose-cand_b_7922194.html short_description,2
NEWS_00019,Congress Spikes Handout For Private Equity authors,A few Wall Street firms almost won big.,2
NEWS_00020,Deere's Color Is Green,"With big tractors, big sales, and big earnings, Deere's hoeing a profitable row.",0
NEWS_00021,Blake Leeper Wants to Be the First American Paralympian at the Olympics authors,Blake Leeper may be training for the Rio 2016 Olympic Games but he found time to stop by the Samsung Smart Lounge to talk about his goals and how technology can help people like him compete at a high level.,3
NEWS_00022,"College Basketball: Georgia Tech, UConn Win",ATLANTA (Sports Network) - BJ Elder poured in a game-high 27 points to lead fourth-ranked Georgia Tech to a convincing 99-68 win over Michigan in the ACC-Big Ten Challenge at Alexander Memorial Coliseum.,3
