id,category
NEWS_00000,3
NEWS_00001,1
NEWS_00002,3
NEWS_00003,4
NEWS_00004,1
NEWS_00005,1
NEWS_00006,1
NEWS_00007,4
NEWS_00008,2
NEWS_00009,2
NEWS_00010,1
NEWS_00011,2
NEWS_00012,2
NEWS_00013,3
NEWS_00014,2
NEWS_00015,2
NEWS_00016,3
NEWS_00017,2
NEWS_00018,2
NEWS_00019,2
NEWS_00020,1
NEWS_00021,3
NEWS_00022,3
NEWS_00023,4
NEWS_00024,1
NEWS_00025,1
NEWS_00026,3
NEWS_00027,0
NEWS_00028,1
NEWS_00029,5
NEWS_00030,3
NEWS_00031,4
NEWS_00032,2
NEWS_00033,1
NEWS_00034,5
NEWS_00035,2
NEWS_00036,2
NEWS_00037,4
NEWS_00038,3
NEWS_00039,3
NEWS_00040,3
NEWS_00041,4
NEWS_00042,3
NEWS_00043,3
NEWS_00044,3
NEWS_00045,2
NEWS_00046,3
NEWS_00047,2
NEWS_00048,3
NEWS_00049,4
NEWS_00050,4
NEWS_00051,0
NEWS_00052,1
NEWS_00053,2
NEWS_00054,2
NEWS_00055,2
NEWS_00056,5
NEWS_00057,5
NEWS_00058,2
NEWS_00059,5
NEWS_00060,5
NEWS_00061,5
NEWS_00062,1
NEWS_00063,5
NEWS_00064,1
NEWS_00065,2
NEWS_00066,2
NEWS_00067,1
NEWS_00068,1
NEWS_00069,5
NEWS_00070,0
NEWS_00071,5
NEWS_00072,1
NEWS_00073,4
NEWS_00074,4
NEWS_00075,5
NEWS_00076,1
NEWS_00077,5
NEWS_00078,5
NEWS_00079,4
NEWS_00080,1
NEWS_00081,2
NEWS_00082,5
NEWS_00083,4
NEWS_00084,1
NEWS_00085,0
NEWS_00086,5
NEWS_00087,5
NEWS_00088,3
NEWS_00089,2
NEWS_00090,5
NEWS_00091,2
NEWS_00092,1
NEWS_00093,4
NEWS_00094,3
NEWS_00095,5
NEWS_00096,3
NEWS_00097,1
NEWS_00098,0
NEWS_00099,0
NEWS_00100,4
NEWS_00101,2
NEWS_00102,2
NEWS_00103,4
NEWS_00104,5
NEWS_00105,5
NEWS_00106,1
NEWS_00107,5
NEWS_00108,1
NEWS_00109,3
NEWS_00110,0
NEWS_00111,0
NEWS_00112,3
NEWS_00113,4
NEWS_00114,1
NEWS_00115,1
NEWS_00116,3
NEWS_00117,2
NEWS_00118,1
NEWS_00119,4
NEWS_00120,4
NEWS_00121,2
NEWS_00122,3
NEWS_00123,4
NEWS_00124,0
NEWS_00125,4
NEWS_00126,1
NEWS_00127,3
NEWS_00128,4
NEWS_00129,3
NEWS_00130,4
NEWS_00131,2
NEWS_00132,2
NEWS_00133,5
NEWS_00134,3
NEWS_00135,1
NEWS_00136,4
NEWS_00137,2
NEWS_00138,1
NEWS_00139,3
NEWS_00140,0
NEWS_00141,5
NEWS_00142,2
NEWS_00143,4
NEWS_00144,4
NEWS_00145,1
NEWS_00146,2
NEWS_00147,2
NEWS_00148,2
NEWS_00149,1
NEWS_00150,4
NEWS_00151,1
NEWS_00152,5
NEWS_00153,2
NEWS_00154,3
NEWS_00155,4
NEWS_00156,5
NEWS_00157,4
NEWS_00158,2
NEWS_00159,1
NEWS_00160,4
NEWS_00161,0
NEWS_00162,4
NEWS_00163,4
NEWS_00164,3
NEWS_00165,3
NEWS_00166,1
NEWS_00167,1
NEWS_00168,2
NEWS_00169,4
NEWS_00170,4
NEWS_00171,2
NEWS_00172,2
NEWS_00173,2
NEWS_00174,5
NEWS_00175,3
NEWS_00176,3
NEWS_00177,4
NEWS_00178,4
NEWS_00179,3
NEWS_00180,3
NEWS_00181,2
NEWS_00182,5
NEWS_00183,0
NEWS_00184,3
NEWS_00185,2
NEWS_00186,2
NEWS_00187,5
NEWS_00188,4
NEWS_00189,3
NEWS_00190,0
NEWS_00191,4
NEWS_00192,1
NEWS_00193,1
NEWS_00194,2
NEWS_00195,1
NEWS_00196,0
NEWS_00197,2
NEWS_00198,4
NEWS_00199,1
NEWS_00200,1
NEWS_00201,4
NEWS_00202,5
NEWS_00203,5
NEWS_00204,4
NEWS_00205,2
NEWS_00206,5
NEWS_00207,3
NEWS_00208,1
NEWS_00209,3
NEWS_00210,4
NEWS_00211,3
NEWS_00212,2
NEWS_00213,4
NEWS_00214,5
NEWS_00215,4
NEWS_00216,1
NEWS_00217,4
NEWS_00218,1
NEWS_00219,1
NEWS_00220,3
NEWS_00221,1
NEWS_00222,2
NEWS_00223,5
NEWS_00224,2
NEWS_00225,3
NEWS_00226,3
NEWS_00227,5
NEWS_00228,1
NEWS_00229,5
NEWS_00230,2
NEWS_00231,2
NEWS_00232,4
NEWS_00233,2
NEWS_00234,4
NEWS_00235,3
NEWS_00236,3
NEWS_00237,1
NEWS_00238,1
NEWS_00239,5
NEWS_00240,3
NEWS_00241,4
NEWS_00242,3
NEWS_00243,4
NEWS_00244,4
NEWS_00245,4
NEWS_00246,4
NEWS_00247,5
NEWS_00248,3
NEWS_00249,4
NEWS_00250,3
NEWS_00251,0
NEWS_00252,4
NEWS_00253,3
NEWS_00254,4
NEWS_00255,1
NEWS_00256,5
NEWS_00257,4
NEWS_00258,4
NEWS_00259,2
NEWS_00260,3
NEWS_00261,3
NEWS_00262,1
NEWS_00263,3
NEWS_00264,5
NEWS_00265,3
NEWS_00266,3
NEWS_00267,3
NEWS_00268,5
NEWS_00269,2
NEWS_00270,1
NEWS_00271,5
NEWS_00272,1
NEWS_00273,1
NEWS_00274,3
NEWS_00275,1
NEWS_00276,4
NEWS_00277,4
NEWS_00278,2
NEWS_00279,4
NEWS_00280,3
NEWS_00281,1
NEWS_00282,1
NEWS_00283,1
NEWS_00284,0
NEWS_00285,4
NEWS_00286,2
NEWS_00287,3
NEWS_00288,2
NEWS_00289,4
NEWS_00290,0
NEWS_00291,3
NEWS_00292,4
NEWS_00293,1
NEWS_00294,1
NEWS_00295,5
NEWS_00296,0
NEWS_00297,5
NEWS_00298,5
NEWS_00299,3
NEWS_00300,2
NEWS_00301,1
NEWS_00302,3
NEWS_00303,2
NEWS_00304,5
NEWS_00305,4
NEWS_00306,1
NEWS_00307,4
NEWS_00308,4
NEWS_00309,5
NEWS_00310,2
NEWS_00311,2
NEWS_00312,2
NEWS_00313,2
NEWS_00314,1
NEWS_00315,4
NEWS_00316,0
NEWS_00317,3
NEWS_00318,5
NEWS_00319,4
NEWS_00320,0
NEWS_00321,4
NEWS_00322,4
NEWS_00323,4
NEWS_00324,4
NEWS_00325,5
NEWS_00326,1
NEWS_00327,1
NEWS_00328,4
NEWS_00329,4
NEWS_00330,4
NEWS_00331,4
NEWS_00332,0
NEWS_00333,3
NEWS_00334,4
NEWS_00335,3
NEWS_00336,3
NEWS_00337,3
NEWS_00338,4
NEWS_00339,1
NEWS_00340,4
NEWS_00341,2
NEWS_00342,2
NEWS_00343,4
NEWS_00344,4
NEWS_00345,4
NEWS_00346,1
NEWS_00347,2
NEWS_00348,3
NEWS_00349,0
NEWS_00350,1
NEWS_00351,4
NEWS_00352,0
NEWS_00353,5
NEWS_00354,0
NEWS_00355,4
NEWS_00356,0
NEWS_00357,2
NEWS_00358,1
NEWS_00359,4
NEWS_00360,5
NEWS_00361,5
NEWS_00362,2
NEWS_00363,1
NEWS_00364,4
NEWS_00365,5
NEWS_00366,5
NEWS_00367,4
NEWS_00368,3
NEWS_00369,1
NEWS_00370,4
NEWS_00371,3
NEWS_00372,1
NEWS_00373,4
NEWS_00374,4
NEWS_00375,3
NEWS_00376,4
NEWS_00377,4
NEWS_00378,0
NEWS_00379,4
NEWS_00380,1
NEWS_00381,3
NEWS_00382,4
NEWS_00383,0
NEWS_00384,5
NEWS_00385,3
NEWS_00386,3
NEWS_00387,1
NEWS_00388,0
NEWS_00389,4
NEWS_00390,3
NEWS_00391,1
NEWS_00392,1
NEWS_00393,2
NEWS_00394,5
NEWS_00395,4
NEWS_00396,5
NEWS_00397,5
NEWS_00398,5
NEWS_00399,4
NEWS_00400,4
NEWS_00401,2
NEWS_00402,5
NEWS_00403,3
NEWS_00404,3
NEWS_00405,1
NEWS_00406,1
NEWS_00407,0
NEWS_00408,5
NEWS_00409,2
NEWS_00410,0
NEWS_00411,3
NEWS_00412,5
NEWS_00413,5
NEWS_00414,5
NEWS_00415,3
NEWS_00416,1
NEWS_00417,3
NEWS_00418,1
NEWS_00419,4
NEWS_00420,4
NEWS_00421,0
NEWS_00422,0
NEWS_00423,4
NEWS_00424,0
NEWS_00425,4
NEWS_00426,2
NEWS_00427,4
NEWS_00428,3
NEWS_00429,4
NEWS_00430,4
NEWS_00431,1
NEWS_00432,4
NEWS_00433,1
NEWS_00434,5
NEWS_00435,2
NEWS_00436,4
NEWS_00437,1
NEWS_00438,2
NEWS_00439,0
NEWS_00440,2
NEWS_00441,0
NEWS_00442,0
NEWS_00443,4
NEWS_00444,4
NEWS_00445,1
NEWS_00446,1
NEWS_00447,1
NEWS_00448,3
NEWS_00449,3
NEWS_00450,0
NEWS_00451,2
NEWS_00452,3
NEWS_00453,1
NEWS_00454,4
NEWS_00455,3
NEWS_00456,2
NEWS_00457,1
NEWS_00458,2
NEWS_00459,3
NEWS_00460,2
NEWS_00461,2
NEWS_00462,2
NEWS_00463,4
NEWS_00464,3
NEWS_00465,5
NEWS_00466,4
NEWS_00467,3
NEWS_00468,3
NEWS_00469,1
NEWS_00470,4
NEWS_00471,3
NEWS_00472,3
NEWS_00473,2
NEWS_00474,3
NEWS_00475,5
NEWS_00476,4
NEWS_00477,1
NEWS_00478,5
NEWS_00479,0
NEWS_00480,0
NEWS_00481,4
NEWS_00482,3
NEWS_00483,1
NEWS_00484,1
NEWS_00485,3
NEWS_00486,3
NEWS_00487,5
NEWS_00488,0
NEWS_00489,3
NEWS_00490,2
NEWS_00491,0
NEWS_00492,2
NEWS_00493,1
NEWS_00494,5
NEWS_00495,0
NEWS_00496,3
NEWS_00497,3
NEWS_00498,3
NEWS_00499,1
NEWS_00500,1
NEWS_00501,5
NEWS_00502,2
NEWS_00503,1
NEWS_00504,5
NEWS_00505,2
NEWS_00506,5
NEWS_00507,5
NEWS_00508,3
NEWS_00509,5
NEWS_00510,4
NEWS_00511,4
NEWS_00512,0
NEWS_00513,3
NEWS_00514,5
NEWS_00515,4
NEWS_00516,5
NEWS_00517,0
NEWS_00518,1
NEWS_00519,3
NEWS_00520,1
NEWS_00521,5
NEWS_00522,4
NEWS_00523,1
NEWS_00524,1
NEWS_00525,5
NEWS_00526,5
NEWS_00527,4
NEWS_00528,0
NEWS_00529,4
NEWS_00530,2
NEWS_00531,0
NEWS_00532,3
NEWS_00533,3
NEWS_00534,5
NEWS_00535,4
NEWS_00536,3
NEWS_00537,4
NEWS_00538,1
NEWS_00539,2
NEWS_00540,2
NEWS_00541,5
NEWS_00542,4
NEWS_00543,4
NEWS_00544,4
NEWS_00545,4
NEWS_00546,0
NEWS_00547,1
NEWS_00548,4
NEWS_00549,4
NEWS_00550,2
NEWS_00551,1
NEWS_00552,0
NEWS_00553,4
NEWS_00554,4
NEWS_00555,3
NEWS_00556,1
NEWS_00557,3
NEWS_00558,1
NEWS_00559,1
NEWS_00560,4
NEWS_00561,5
NEWS_00562,1
NEWS_00563,5
NEWS_00564,2
NEWS_00565,4
NEWS_00566,5
NEWS_00567,1
NEWS_00568,4
NEWS_00569,4
NEWS_00570,3
NEWS_00571,4
NEWS_00572,2
NEWS_00573,4
NEWS_00574,3
NEWS_00575,1
NEWS_00576,3
NEWS_00577,3
NEWS_00578,2
NEWS_00579,3
NEWS_00580,2
NEWS_00581,2
NEWS_00582,1
NEWS_00583,2
NEWS_00584,4
NEWS_00585,2
NEWS_00586,3
NEWS_00587,1
NEWS_00588,3
NEWS_00589,5
NEWS_00590,3
NEWS_00591,1
NEWS_00592,4
NEWS_00593,4
NEWS_00594,1
NEWS_00595,3
NEWS_00596,2
NEWS_00597,1
NEWS_00598,5
NEWS_00599,2
NEWS_00600,2
NEWS_00601,4
NEWS_00602,2
NEWS_00603,4
NEWS_00604,3
NEWS_00605,3
NEWS_00606,3
NEWS_00607,2
NEWS_00608,0
NEWS_00609,4
NEWS_00610,4
NEWS_00611,5
NEWS_00612,1
NEWS_00613,0
NEWS_00614,3
NEWS_00615,4
NEWS_00616,3
NEWS_00617,4
NEWS_00618,4
NEWS_00619,1
NEWS_00620,0
NEWS_00621,3
NEWS_00622,4
NEWS_00623,1
NEWS_00624,4
NEWS_00625,0
NEWS_00626,1
NEWS_00627,0
NEWS_00628,3
NEWS_00629,5
NEWS_00630,5
NEWS_00631,2
NEWS_00632,1
NEWS_00633,3
NEWS_00634,3
NEWS_00635,4
NEWS_00636,0
NEWS_00637,1
NEWS_00638,2
NEWS_00639,4
NEWS_00640,2
NEWS_00641,3
NEWS_00642,5
NEWS_00643,3
NEWS_00644,2
NEWS_00645,1
NEWS_00646,3
NEWS_00647,3
NEWS_00648,4
NEWS_00649,5
NEWS_00650,1
NEWS_00651,2
NEWS_00652,4
NEWS_00653,1
NEWS_00654,3
NEWS_00655,5
NEWS_00656,2
NEWS_00657,0
NEWS_00658,1
NEWS_00659,4
NEWS_00660,3
NEWS_00661,1
NEWS_00662,0
NEWS_00663,4
NEWS_00664,2
NEWS_00665,3
NEWS_00666,1
NEWS_00667,1
NEWS_00668,1
NEWS_00669,4
NEWS_00670,3
NEWS_00671,0
NEWS_00672,4
NEWS_00673,4
NEWS_00674,2
NEWS_00675,4
NEWS_00676,3
NEWS_00677,1
NEWS_00678,4
NEWS_00679,5
NEWS_00680,4
NEWS_00681,4
NEWS_00682,2
NEWS_00683,4
NEWS_00684,3
NEWS_00685,1
NEWS_00686,2
NEWS_00687,3
NEWS_00688,0
NEWS_00689,0
NEWS_00690,3
NEWS_00691,2
NEWS_00692,5
NEWS_00693,5
NEWS_00694,2
NEWS_00695,1
NEWS_00696,2
NEWS_00697,3
NEWS_00698,4
NEWS_00699,1
NEWS_00700,4
NEWS_00701,2
NEWS_00702,3
NEWS_00703,2
NEWS_00704,1
NEWS_00705,0
NEWS_00706,2
NEWS_00707,3
NEWS_00708,4
NEWS_00709,0
NEWS_00710,1
NEWS_00711,1
NEWS_00712,1
NEWS_00713,4
NEWS_00714,1
NEWS_00715,2
NEWS_00716,2
NEWS_00717,4
NEWS_00718,3
NEWS_00719,4
NEWS_00720,0
NEWS_00721,1
NEWS_00722,1
NEWS_00723,1
NEWS_00724,2
NEWS_00725,4
NEWS_00726,4
NEWS_00727,5
NEWS_00728,1
NEWS_00729,1
NEWS_00730,4
NEWS_00731,4
NEWS_00732,1
NEWS_00733,5
NEWS_00734,1
NEWS_00735,1
NEWS_00736,3
NEWS_00737,3
NEWS_00738,5
NEWS_00739,0
NEWS_00740,5
NEWS_00741,2
NEWS_00742,0
NEWS_00743,0
NEWS_00744,4
NEWS_00745,1
NEWS_00746,5
NEWS_00747,4
NEWS_00748,5
NEWS_00749,1
NEWS_00750,0
NEWS_00751,1
NEWS_00752,3
NEWS_00753,4
NEWS_00754,1
NEWS_00755,2
NEWS_00756,1
NEWS_00757,1
NEWS_00758,2
NEWS_00759,3
NEWS_00760,2
NEWS_00761,4
NEWS_00762,0
NEWS_00763,4
NEWS_00764,0
